X,Y,Z
187.27,349.08,114.54
475.36,268.05,118.98
366.00,154.76,126.41
299.33,406.90,119.98
78.01,342.37,113.98
78.00,81.31,131.90
29.04,455.46,130.50
433.09,411.27,135.90
300.56,474.90,123.03
354.04,362.86,122.62
10.29,306.71,109.16
484.95,209.12,109.44
416.22,466.36,128.91
106.17,433.03,115.12
90.91,22.61,140.80
91.70,13.18,143.06
152.12,188.23,112.20
262.38,405.28,116.35
215.97,493.64,113.33
145.61,75.21,121.12
305.93,297.07,123.60
69.75,190.45,107.21
146.07,484.96,114.34
183.18,421.06,107.76
228.03,419.16,111.46
392.59,234.35,126.20
99.84,207.41,107.45
257.12,136.70,124.27
296.21,28.19,106.44
23.23,432.36,130.52
303.77,406.45,120.00
85.26,499.86,121.71
32.53,498.32,126.00
474.44,277.72,122.10
482.82,384.49,137.16
404.20,472.38,128.09
152.31,424.82,108.71
48.84,123.67,126.96
342.12,225.27,131.44
220.08,64.58,118.51
61.02,477.03,124.73
247.59,303.09,121.36
17.19,114.32,134.04
454.66,335.85,134.57
129.39,309.06,113.86
331.26,179.08,132.31
155.86,56.78,125.33
260.03,335.79,118.53
273.36,260.15,124.61
92.43,386.16,116.12
484.79,260.08,116.68
387.57,426.09,130.62
469.75,275.95,121.33
447.41,280.47,123.83
298.95,438.33,121.09
460.94,201.74,111.39
44.25,67.01,138.73
97.99,14.39,141.92
22.61,377.57,124.92
162.67,310.15,116.72
194.34,352.04,114.50
135.67,106.48,115.65
414.37,68.19,115.96
178.38,7.27,132.31
140.47,175.29,110.55
271.35,294.96,122.11
70.46,196.12,106.77
401.10,218.74,125.53
37.28,452.08,129.06
493.44,174.13,108.48
386.12,256.99,127.03
99.36,391.83,115.09
2.76,198.27,113.74
407.73,311.04,129.18
353.43,431.18,128.21
364.50,474.76,129.42
385.64,73.54,113.46
37.02,463.29,129.03
179.23,246.06,118.92
57.93,129.12,123.62
431.55,229.57,118.84
311.65,490.02,124.35
165.45,246.31,118.65
31.78,164.38,118.69
155.49,316.70,115.54
162.59,120.07,112.63
364.80,37.93,107.25
318.78,64.44,111.70
443.61,64.02,120.90
236.11,75.95,118.87
59.80,69.41,136.47
356.62,320.44,123.96
380.39,90.94,115.28
280.64,172.83,128.89
385.48,448.39,130.92
246.90,236.98,125.11
261.37,333.78,118.69
213.77,86.16,117.86
12.71,96.14,135.51
53.95,20.43,139.66
15.71,84.47,137.75
318.21,139.30,127.33
157.18,88.51,116.92
254.29,44.35,114.24
453.78,60.32,122.41
124.65,230.39,112.28
205.19,103.17,117.17
377.78,182.13,126.87
114.40,251.71,111.00
38.49,345.20,116.72
144.88,19.66,136.89
80.61,399.71,119.69
464.85,313.95,131.37
404.06,40.88,113.81
316.70,436.79,124.10
435.73,460.44,128.39
401.84,30.54,111.94
93.29,138.44,114.77
446.28,403.10,137.51
269.67,374.13,116.93
403.72,92.26,117.01
448.05,104.67,118.06
159.00,185.24,112.81
55.03,242.26,102.80
113.97,309.13,112.71
213.55,184.46,120.08
409.01,231.27,122.64
430.37,373.74,136.45
3.48,18.34,126.31
255.37,126.22,124.50
208.71,356.67,114.74
111.05,447.60,115.67
59.93,255.84,102.74
168.81,266.06,119.53
471.45,53.59,124.41
161.60,223.71,116.20
259.40,266.31,123.80
351.51,121.24,122.45
181.81,134.62,113.50
485.89,188.64,108.67
481.22,10.04,126.89
125.89,161.04,109.31
248.62,105.72,120.90
150.44,163.75,110.58
142.42,59.88,126.18
18.44,445.26,130.50
304.78,296.80,122.82
251.34,339.55,118.51
25.74,394.59,128.10
139.32,249.22,114.65
454.13,43.46,122.36
119.78,268.55,113.30
72.45,293.42,106.36
244.73,372.72,114.80
492.83,215.83,109.91
121.03,63.79,127.64
336.07,141.89,126.67
380.81,181.54,126.84
118.82,322.96,113.19
364.11,285.39,126.64
183.89,178.05,114.78
316.15,493.26,126.15
316.76,302.89,123.42
267.89,118.61,123.56
45.14,50.89,139.75
417.65,76.43,116.66
160.39,122.98,111.75
93.26,80.34,128.24
20.39,93.28,135.89
295.45,142.55,128.13
338.78,86.69,115.64
8.29,448.38,131.69
256.05,40.12,112.38
113.25,262.26,111.71
322.59,205.20,132.09
87.18,491.19,122.17
345.47,56.02,109.23
193.37,198.93,118.26
468.36,484.74,116.81
68.76,432.75,124.20
170.53,408.54,108.56
56.74,128.95,124.25
462.35,85.44,120.89
438.67,334.32,133.95
128.97,464.69,113.80
329.99,278.38,127.12
408.61,285.81,126.47
277.60,139.99,127.67
264.83,384.75,116.70
120.93,93.52,119.24
46.55,161.84,116.23
448.61,212.72,113.64
450.21,253.81,119.35
316.55,121.20,124.13
169.51,57.42,122.47
174.60,305.31,117.02
362.98,144.32,124.96
448.56,290.62,124.98
443.54,77.18,119.22
389.94,240.57,127.23
321.02,266.29,127.72
42.07,25.91,137.78
80.81,168.30,110.11
449.28,67.21,121.14
303.21,31.69,105.73
4.60,494.98,126.26
50.74,161.18,116.46
331.75,404.94,123.33
2.53,127.32,131.12
80.40,340.75,113.43
274.37,380.11,117.57
345.95,297.82,124.18
325.98,235.79,130.49
112.13,205.92,108.31
356.09,174.43,128.98
118.62,464.76,115.32
162.70,415.31,109.00
373.25,482.51,129.67
324.82,62.15,110.43
424.61,365.43,135.18
328.81,469.17,127.57
284.15,90.62,119.71
46.84,33.25,138.79
183.86,370.56,111.52
132.60,287.24,115.02
121.99,420.91,112.44
486.51,69.89,124.18
196.55,397.63,110.34
446.02,100.81,119.08
315.57,81.83,115.52
397.41,82.13,116.32
251.32,407.29,114.89
288.45,332.60,120.73
246.26,261.53,122.73
97.62,179.42,109.44
361.23,438.60,128.93
140.39,196.22,111.10
12.16,408.30,129.59
322.74,219.57,131.45
88.56,188.47,107.88
470.23,231.34,113.16
476.96,150.69,111.32
457.43,373.80,138.22
185.08,251.36,120.90
7.73,116.11,133.83
464.16,449.79,127.46
214.09,191.95,120.46
483.33,271.78,120.20
481.81,453.24,123.76
426.50,312.12,129.24
147.22,58.45,125.16
192.55,469.92,109.06
425.57,313.85,130.13
158.46,167.45,112.08
84.75,69.64,132.61
278.40,397.01,118.38
468.08,310.04,129.31
348.01,266.73,127.47
285.03,446.95,119.56
48.59,394.30,125.21
307.50,75.84,115.69
